YEAR,STATE,RATE,DEATHS,URL
2022,AL,25.5,1278.00,/nchs/pressroom/states/alabama/al.htm
2022,AK,22.4,164.00,/nchs/pressroom/states/alaska/ak.htm
2022,AZ,20.1,1535.00,/nchs/pressroom/states/arizona/az.htm
2022,AR,21.9,666.00,/nchs/pressroom/states/arkansas/ar.htm
2022,CA,8.6,3484.00,/nchs/pressroom/states/california/ca.htm
2022,CO,17.1,1036.00,/nchs/pressroom/states/colorado/co.htm
2022,CT,6.9,252.00,/nchs/pressroom/states/connecticut/ct.htm
2022,DE,11.9,124.00,/nchs/pressroom/states/delaware/de.htm
2022,District of Columbia,21.4,154.00,/nchs/pressroom/states/DC/DC1.htm
2022,FL,14,3232.00,/nchs/pressroom/states/florida/fl.htm
2022,GA,19.7,2163.00,/nchs/pressroom/states/georgia/ga.htm
2022,HI,4.5,66.00,/nchs/pressroom/states/hawaii/hi.htm
2022,ID,17,338.00,/nchs/pressroom/states/idaho/id.htm
2022,IL,14.4,1798.00,/nchs/pressroom/states/illinois/il.htm
2022,IN,17.4,1211.00,/nchs/pressroom/states/indiana/in.htm
2022,IA,11.2,367.00,/nchs/pressroom/states/iowa/ia.htm
2022,KS,16.8,492.00,/nchs/pressroom/states/kansas/ks.htm
2022,KY,18.8,840.00,/nchs/pressroom/states/kentucky/ky.htm
2022,LA,28.2,1266.00,/nchs/pressroom/states/louisiana/la.htm
2022,ME,11.7,179.00,/nchs/pressroom/states/maine/me.htm
2022,MD,13.6,813.00,/nchs/pressroom/states/maryland/md.htm
2022,MA,3.7,263.00,/nchs/pressroom/states/massachusetts/ma.htm
2022,MI,15,1504.00,/nchs/pressroom/states/michigan/mi.htm
2022,MN,9.6,561.00,/nchs/pressroom/states/minnesota/mn.htm
2022,MS,29.6,848.00,/nchs/pressroom/states/mississippi/ms.htm
2022,MO,24.2,1489.00,/nchs/pressroom/states/missouri/mo.htm
2022,MT,23.9,274.00,/nchs/pressroom/states/montana/mt.htm
2022,NE,12.2,244.00,/nchs/pressroom/states/nebraska/ne.htm
2022,NV,18.9,618.00,/nchs/pressroom/states/nevada/nv.htm
2022,NH,10.1,156.00,/nchs/pressroom/states/newhampshire/nh.htm
2022,NJ,5,468.00,/nchs/pressroom/states/newjersey/nj.htm
2022,NM,27.3,571.00,/nchs/pressroom/states/newmexico/nm.htm
2022,NY,5.3,1044.00,/nchs/pressroom/states/newyork/ny.htm
2022,NC,16.8,1831.00,/nchs/pressroom/states/northcarolina/nc.htm
2022,ND,16.4,125.00,/nchs/pressroom/states/northdakota/nd.htm
2022,OH,15.6,1831.00,/nchs/pressroom/states/ohio/oh.htm
2022,OK,19.8,797.00,/nchs/pressroom/states/oklahoma/ok.htm
2022,OR,14.4,655.00,/nchs/pressroom/states/oregon/or.htm
2022,PA,14.7,1941.00,/nchs/pressroom/states/pennsylvania/pa.htm
2022,RI,3.1,37.00,/nchs/pressroom/states/rhodeisland/ri.htm
